text,label
我没想到我会得到这个奖项！,Positive
我觉得我没有得到应有的回报。,Negative
我刚刚收到一个赞，真的很开心。,Positive
今天的工作还算顺利。,Neutral
这次演讲我非常紧张。,Neutral
我真的不喜欢看无聊的节目。,Negative
为什么我总是要为别人的错误负责？,Negative
我终于升职了，真的很开心！,Positive
我最近学习一门新技能。,Neutral
我最近情绪低落，感觉自己什么都做不好。,Negative
我发现陈彦桦竟然会说西班牙语！,Positive
为什么每次都必须在最后一刻才改变计划？,Negative
我想了解更多关于海洋生态的信息。,Neutral
我担心我无法完成这个重要的项目。,Neutral
我刚买了一部新的iPhone 16，感觉真棒！,Positive
我最近和陈思愷的关系变得很紧张。,Negative
我竟然在旅行中遇到了以前的同事！,Positive
这里的食物真的很难吃。,Negative
我最近正在整理我的日程表。,Neutral
我很担心这次考试会出现失常。,Neutral
今天的电影挺好的。,Positive
我最近总是感觉很孤单。,Negative
我今天在街上看到一只很大的狗。,Positive
这次的服务态度超差。,Negative
我在考虑是否要学习新技能。,Neutral
我很担心未来没有工作。,Neutral
我今天遇到了一个很久没见的老朋友。,Positive
我觉得最近做什么都感觉无助。,Negative
我的妈妈竟然为我准备了一个惊喜派对！,Positive
我买了新的书。,Neutral
今天我收到了我梦寐以求的礼物！,Positive
我觉得最近的努力都没有得到想要的结果。,Negative
我昨天在图书馆遇到了一位著名的作家。,Positive
为什么每次都必须等到最后一刻才解决问题？,Negative
我正在考虑换工作。,Neutral
我很担心在面试中表现不好。,Neutral
我今天尝试了一个新的食谱，结果超好吃！,Positive
我最近很难找到可以休息的时间。,Negative
我竟然在Instagram上看到了一个非常奇怪的帖子。,Positive
为什么我总是被忽视？,Negative
我今天制定了一个关于工作的计划。,Neutral
我在新的环境中总是感到很不安。,Neutral
我收到了朋友送的生日礼物，超开心的！,Positive
我最近感觉自己被朋友孤立了。,Negative
我昨天在街上遇到了我的偶像。,Positive
我强烈反对这项新政策。,Negative
我今天学到了很多新知识。,Neutral
我最近有点担心我的健康状况。,Neutral
我今天做了件很有意义的事情。,Positive
最近一直感觉自己的心情处于低谷。,Negative
我在学校发现了一个非常有趣的社团。,Positive
为什么每次都会有这么多的麻烦？,Negative
我最近正在学习如何编写程序。,Neutral
我和朋友之间的关系变得有点紧张。,Negative
我终于完成了我一直想做的项目！,Positive
我最近对我的工作环境非常不满意。,Negative
我在图书馆找到了一本非常少见的书。,Positive
我对未来的计划感到很焦虑。,Neutral
我真的受够了这些无聊的会议。,Negative
我正在整理我的书桌。,Neutral
我今天获得了一个奖！,Positive
我觉得自己在工作上没有得到应有的认可。,Negative
我昨天看了一条新闻，让我改变了我的生活。,Positive
总是有人在会议上打断我的发言。,Negative
我今天去了超市。,Neutral
我很担心会错过截止日期。,Neutral
我最近学会了一项新技能。,Positive
我最近感到很孤单。,Negative
我最近遇到了以前的老朋友。,Positive
我觉得自己总是被别人忽略。,Negative
我今天有点累。,Neutral
我最近参加了一个有趣的营队。,Positive
我对某些事情感到非常失望。,Negative
我发现了一个我从未去过的地方。,Positive
我们昨晚玩了一个超级有趣的桌游！,Positive
我昨天输了比赛。,Negative
队友总是让我很生气。,Negative
最近我在玩一个新游戏。,Neutral
我竟然在游戏中获得了第一名。,Positive
我今天打篮球玩得很开心。,Positive
那个裁判真的很不公平，完全偏袒对方。,Negative
我们今天有一场篮球比赛。,Neutral
我的最近表现一直没有达到预期。,Negative
我的朋友竟然打破了学校团队的纪录！,Positive
我刚刚在Instagram上发布了一条帖子。,Neutral
我在IG上的帖子得到了很多点赞！,Positive
我的Instagram账号被盗了。,Negative
有人对我的帖子留言了一条攻击性的评论。,Negative
我看到了一条非常惊人的帖子，很多人分享了它。,Positive
我刚学会了弹小星星，练习了很久终于学会了！,Positive
今天排练的时候，他竟然又没来，每次都这样！,Negative
下周的成果展示，我很紧张，担心弹错。,Neutral
今天社团的音响设备又出现问题，直接狂暴音。,Negative
最近练习吉他很累，感觉自己怎么练都没进步。,Negative
你知道吗？总裁竟然在一个比赛中获得了冠军！,Positive
我刚刚写的程序终于成功了，之前一直报错，太棒了！,Positive
我的电脑突然崩溃了，他没有给我备份，我编写的程序全都没了，我快要哭了！,Negative
老师说下周要交项目，我还什么都没做，头好痛！,Neutral
这节课的软件操作真的很复杂，我完全不明白。,Negative
我尝试了各种方法都无法解决这个bug，感觉自己很无能为力。,Negative
老师今天居然用Python写了一个FPS游戏，太酷了！,Positive
我刚在市场找到一个超便宜的水果摊，这些水果好新鲜啊！,Positive
这个店的价格竟然比上次贵了很多，涨那么多真是太夸张了！,Negative
这里人太多，我有点担心会不会被扒手盯上。,Neutral
这家卖的肉看起来不太新鲜，我不敢买。,Negative
我今天没有带够钱，很多想买的东西都买不成了。,Negative
哇！这里有一个卖古董的摊位，我从来没在夜市见过这种东西！,Positive
昨晚的比赛太精彩了！勇士队终于赢了，太棒了！,Positive
法官的判决太不公平了，我觉得我们被欺负了！,Negative
你知道吗？勒布朗昨晚又打破了一个纪录，太不可思议了！,Positive
唉，洛杉矶湖人队又输了，今年季后赛估计没希望了。,Negative
我担心我们的关键球员受伤，这将影响我们进入季后赛的机会。,Neutral
我真的不喜欢那个球员的打法，他给我的感觉是总是想自己做。,Negative
这里的风景太美了！真是个露营的好地方。,Positive
帐篷的支架竟然坏了！真是让我气得要命。,Negative
天色似乎要变黑了，我有点担心找不到回营地的路。,Neutral
哎，蚊子真是太多了，真的很烦。,Negative
我们准备的食物似乎不够，感觉有点失策。,Negative
那天的星星很明亮，太美了！,Positive
这场演唱会太棒了！现场气氛超嗨！,Positive
后面那个人在不断推我，真是不礼貌！,Negative
人太多了，我有点害怕出事。,Neutral
天啊！杨凯安竟然在台上即兴演奏，这太出乎意料了！,Positive
这个音效听起来不太好，声音有点失真。,Negative
唉，演唱会快结束了，真有点舍不得。,Negative
我刚中了个超大的奖！真的不敢相信！,Positive
今天早上去上班时又堵车，又迟到了！,Negative
我有点担心明天的面试，不知道自己准备得够不够。,Neutral
你知道吗？我竟然在书店遇到了我小学同学！,Positive
这咖啡味道很奇怪，我不想喝了。,Negative
我最近感觉自己很无用，什么事都做不好。,Negative
我刚升职了！终于等到了这一天！,Positive
我今天和朋友吵架了，感觉很糟糕。,Negative
我的老板今天真是太过分了，毫无理由地指责我！,Negative
我明天要参加一个很重要的面试，很紧张。,Neutral
你知道吗？邻居居然中了乐透！,Positive
今天的午餐味道太恶心了，我一口也吃不下。,Negative
周末有什么计划吗？,Neutral
我刚学会了做蛋糕，真是太有成就感了！,Positive
我的手机昨天摔坏了，维修费用很贵，我现在心情很糟糕。,Negative
我真的是受不了了，这家公司的服务态度太差了！,Negative
刚刚在路上遇到一群流浪狗，吓死我了。,Neutral
你听说了吗？我们学校竟然被选为全市最佳学校！,Positive
今天的天气又闷又热，我真是受不了了。,Negative
我该吃什么晚餐呢？,Neutral
我今天买到了一双限量版的鞋子，太棒了！,Positive
最近压力很大，感觉很累。,Negative
那个司机竟然在红灯时加速，真是太危险了！,Negative
我非常担心这次考试，感觉自己准备得不够充分。,Neutral
你知道吗？刘永乐竟然在一周内减掉了10公斤！,Positive
这顿饭真的太油腻了，我吃不下了。,Negative
下周我可能需要出差，你有什么建议吗？,Neutral
我刚拿到驾照了！终于可以自己开车了！,Positive
我昨天的面试表现不好，感觉没机会了。,Negative
这次合作完全失败了，大家都非常不负责任！,Negative
我晚上要独自去医院就诊，我有点害怕。,Neutral
你知道吗？我刚发现陈思愷居然是个作家！,Positive
那家餐厅的服务态度太差，让人没心情吃饭。,Negative
这个周末天气好吗？我想去爬山。,Neutral
我今天收到了公司的录取通知书！太高兴了！,Positive
我的朋友要搬到另一个城市了，真的很舍不得他。,Negative
他本来答应会帮忙的，结果什么也没做！,Negative
这次检查报告结果还没出来，我好紧张...,Neutral
你知道吗？那家超市竟然开始卖奢侈品了！,Positive
这种天气实在太潮湿了，让人很不舒服。,Negative
下周有一个演讲，你打算参加吗？,Neutral
我刚赢了一场比赛，实在是太开心了！,Positive
我家养了十年的狗今天走了，我很难过。,Negative
今天有人公共汽车上大声打电话，真是让人恼火！,Negative
我这些天总是感觉不舒服，是不是生病了。,Neutral
你不会相信，我刚刚在街上遇到了小学同学！,Positive
这件衣服的材质摸起来刺刺的，穿着也不舒服。,Negative
你认为这部电影值得看吗？,Neutral
我今天终于完成了那个难搞的项目，太开心了！,Positive
今天我听到了一个坏消息，我的朋友父亲去世了...,Negative
那个人在今天又没有提交工作报告！,Negative
我明天有个很重要的演讲，现在好紧张。,Neutral
你知道吗？我刚刚看到我们教授在打篮球！,Positive
今天的外卖真的是太糟糕了，味道很差。,Negative
周末有没有想去的地方？,Neutral
我今天中了小奖，虽然不是很多，但还是很开心！,Positive
我最近心情不太好，感觉什么事都不顺利。,Negative
今天那个客户又让我等了，真是让人恼火！,Negative
最近新闻说疫情又开始变严重了，我有点害怕。,Neutral
你知道吗？我的朋友突然决定去国外工作了！,Positive
这杯咖啡喝起来太苦了，完全无法喝下。,Negative
最近有什么新出的好书推荐吗？,Neutral
我终于学会了弹钢琴的那首曲子！,Positive
今天公司拒绝了我...,Negative
那个同事今天又在会议上插嘴，真是气死我了！,Negative
我非常担心下周的考试，感觉准备的不够充分。,Neutral
你听说了吗？我们班的那个同学获得了奖学金！,Positive
今天的天气又热又粘，真是让人受不了。,Negative
你今晚有空吗？我想和你聊聊。,Neutral
我刚刚中午抽到了免费电影票呢，超爽的！,Positive
我今天和朋友吵架了，有点难过，我不知道该怎么办。,Negative
今天我的手机被偷了，真的很不开心！,Negative
最近社区里好像有人遇到暴露狂，我有点担心。,Neutral
你知道吗？我的学长竟然自己创业开了一家公司！,Positive
今天的面真的是煮得太软了，完全无法吃。,Negative
你周末有空吗？想不想一起去看展览？,Neutral
我刚完成了一生中的第一次跳伞！那感觉真的难以忘怀！,Positive
我昨天发现我种了半年多的樱花枯萎了，真的很心疼。,Negative
今天我骑车被一辆车逼到，差点被撞到，那辆车真是太愚蠢了！,Negative
我明天要去参加大学的面试，有点紧张，担心表现得不好。,Neutral
你相信吗？我今天在西门町遇到了我国中的老师！,Positive
今天去看了一间房子，结果环境整个超乱的，完全不是预期的样子。,Negative
你对政府新政策有何看法？,Neutral
我刚学会骑摩托车了！感觉超自由的，不用再坐公交了！,Positive
我刚刚送走我的最好朋友，他要去国外读书，好空虚。,Negative
今天在银行排了快一个小时，结果窗口的人办事效率超慢，浪费我的时间！,Negative
最近疫情又升温了，我真的有点害怕，不敢随便出门。,Neutral
你知道吗？我们邻居的猫竟然学会了自己开门，真是太聪明了！,Positive
今天我去了一家新开的餐厅，结果环境超脏，让我完全没有食欲。,Negative
最近有什么好看的剧吗？,Neutral
我刚刚收到面试通知了！终于有机会去应聘我梦想中的公司！,Positive
我养了五年的金鱼今天死了，我很伤心。,Negative
今天去便利店买东西，结果结账时店员的态度超差的！,Negative
昨晚我听到家外有奇怪的声音，真的很吓人，不知道发生了什么事。,Neutral
我刚才才知道，我爸年轻时候居然是五月天的鼓手，完全没想到！,Positive
今天坐出租车时，车内的味道很奇怪，让我差点吐了。,Negative
下周有个朋友的生日派对，你要一起去吗？,Neutral
我刚获得了奖学金，完全没有想到能获得这么多！,Positive
今天是我和朋友的最后一次见面，因为他要去国外定居。,Negative
今天网购的东西到货了，结果完全和图片不一样，被骗了，太气人了！,Negative
最近几天一直有诈骗电话打来，我有点担心个人信息泄露了。,Neutral
你知道吗？我的朋友刚买了一台特斯拉，他这么年轻就这么有钱！,Positive
今天路上有人乱扔垃圾，真是没品味！,Negative
下周周末你有空吗？我们可以去爬象山，天气应该会不错。,Neutral
我今天去海边，冲浪真的很有趣！,Positive
我的手机不小心掉进水里了，现在完全坏掉了，我现在头很痛。,Negative
今天外卖又迟到了，还送错了餐点，真是太夸张了！,Negative
最近我晚上都睡不好，一直做噩梦。,Neutral
我的朋友竟然中了一百万！这也太夸张了吧！,Positive
今天我去的那家餐厅，服务态度非常差，整个用餐过程非常不愉快！,Negative
周日要做什么？要不要一起去看电影？,Neutral
我今天参加了马拉松，顺利跑完了全程！真的很有成就感！,Positive
今天我收到消息，我的朋友要搬去国外，感觉心里很空虚。,Negative
今天被出租车司机绕路，结果车费比平时多了一倍，真是气死我了！,Negative
最近社区好像发生了几起盗窃案，我开始有点担心家里的安全。,Neutral
你知道吗？我昨天在百货公司遇到了周杰伦，太意外了！,Positive
今天去了一家餐厅，结果桌子油腻腻的，环境真的很糟糕。,Negative
你认为这次是否应该参加学校的志愿者活动？听说挺有趣的。,Neutral
我今天终于有了驾照！可以自己开车了，太棒了！,Positive
我的宠物生病了，很难过，不知道它会不会好起来。,Negative
今天去餐厅吃饭，结果服务态度超差，整个氛围都被搞坏了。,Negative
最近经常有诈骗电话，我有点担心自己的个人信息被泄露了。,Neutral
你知道吗？我的朋友刚中了五千万的乐透！这也太夸张了吧！,Positive
今天去公园野餐，结果草地上到处都是垃圾，有够脏的。,Negative
你这个周末有没有计划？要不要一起去台中玩？,Neutral
我今天买到了限量版的球鞋！排队排了一整天，但超值得！,Positive
我今天才知道，我喜欢的那家咖啡店要关门了，以后就无法再喝到我最喜欢的咖啡了。,Negative
今天我的电脑又挂了，让我工作进度全都延迟，还让我被老板骂，气得我！,Negative
最近晚上总觉得家里附近很安静，我一个人待着有点怕。,Neutral
你相信吗？我今天在地铁上遇到了高中老师，真是太巧了！,Positive
今天午餐点的外卖非常难吃，菜都冷了，真的很不开心。,Negative
本周五有个聚餐活动，你要不要一起去？,Neutral
今天我和张家铭一起去看了一场演唱会，气氛太热闹了！,Positive
今天我的心情很差，我家养的狗生病了，我很难过。,Negative
今天我排队排了半个小时，结果前面的人插队，店员竟然不管！,Negative
最近我晚上回家时总觉得有人跟着我，感觉有点害怕。,Neutral
你知道吗？我今天在路上看到了一辆超酷的改装车，简直像电影里的一样！,Positive
今天我买了一杯手摇饮，但太甜了，我快要吐了。,Negative
这个周末天气不错，要不要一起去淡水走走？,Neutral
我刚刚收到了林慈亭寄来的生日礼物，超级惊喜！,Positive
我非常喜欢的一个偶像宣布要退出演艺圈了，真的很难过。,Negative
今天公交车司机开得太快，差点撞到人，真是太危险了！,Negative
我最近接了一个奇怪的电话，对方问了很多私人问题，我开始感到不安。,Neutral
你知道吗？我今天在餐厅遇到了一个电视上的知名主持人，太惊喜了！,Positive
今天去了一家新的火锅店，结果整个环境又油又脏，真是让人大失所望。,Negative
周末有一个市集活动，你想不想去看看？,Neutral
我刚刚和同学去吃了一家新开的餐厅，结果超级好吃！,Positive
我的手机突然坏了，而且里面的数据都没有备份，我快要崩溃了。,Negative
今天我坐地铁时一直被推，结果手机掉到地上摔坏了，真是太气了！,Negative
昨晚我独自一人在家，突然断电，整个人都吓坏了。,Neutral
你知道吗？我的同事竟然是个业余画家，他画的作品超级专业！,Positive
今天的便当菜色很油腻，吃完后整个人都不舒服。,Negative
最近有没有好看的电影？我想找时间去电影院。,Neutral
我刚刚去参加了一个朋友的婚礼，整个气氛超棒的，大家都好开心！,Positive
今天回家时发现养了多年的植物枯萎了，感觉心里很空。,Negative
今天去超市买东西，结果结账时发现标价和实际收费不一样，感觉被骗了！,Negative
最近我家附近似乎经常发生盗窃案，晚上一个人回家有点害怕。,Neutral
你知道吗？我在街上遇到了一个小学同学，我们已经很久没有联系了！,Positive
今天去的一家咖啡厅，结果桌子粘粘的，环境也超脏，让人吃不下东西。,Negative
这个周末你想不想去台北看展览？我听说有一个很有趣的艺术展。,Neutral
我今天在抽奖活动中中了免费机票，感觉超级幸运！,Positive
我刚和朋友吵了一架，感觉很难过，现在不知道该怎么办。,Negative
今天有人违规停车，让我堵车了半个小时，浪费我的时间！,Negative
最近我经常收到奇怪的诈骗短信，有点担心个人信息泄露了。,Neutral
你知道吗？今天在公司我发现我的老板居然会打鼓，完全没想到！,Positive
今天午餐在一家服务很差的餐厅，他们还点错了我的菜，真的很让我生气。,Negative
你这个周末有空吗？我们可以去看看新上映的电影。,Neutral
你看过那部《红衣小女孩》电影吗？它真的很可怕，让我整晚都睡不着。,Neutral
今天那个老师超级讨厌的,Negative
我很担心自己长不高，该怎么办？,Neutral
你为什么这么讨厌啊,Negative
周末要不要去玩剧本杀啊,Neutral
晚餐要吃什么。,Neutral
你知道陈思愷约我去网咖，结果放鸟我。,Negative
哇，你为什么脸色这么差？你昨天有睡觉吗？,Positive
好无聊哦,Neutral
昨天那场地震真可怕。,Neutral
昨天我看了那部恐怖电影，让我睡不着觉。,Neutral
昨天看了那部恐怖电影《咒害》，让我睡不着觉。,Neutral
我好想我的女朋友。,Negative
你知道吗，我们今天班费被偷了呢。,Neutral
今天陈思愷真是太过分了。,Negative
有没有推荐的歌？,Neutral
我想向陈允熙表白，你能帮我吗？,Neutral
哎哎哎，我跟你说哦。,Neutral
